Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,temp_difference,power_proxy,wear_torque_ratio,temp_stress_index,rpm_torque_interaction,wear_category
1,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,10.400000000000034,53040.0,1.6417910447761195,338.00000000000114,53040.0,1
2,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,10.400000000000034,58712.50000000001,1.3272311212814645,444.08000000000146,58712.50000000001,1
0,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,10.5,64959.99999999999,1.3755458515283843,470.4,64959.99999999999,1
1,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,10.400000000000034,48536.7,2.050473186119874,319.28000000000105,48536.7,1
0,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,10.399999999999977,45180.6,2.546816479400749,267.2799999999994,45180.6,1
1,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,10.399999999999977,58225.299999999996,1.8276762402088773,387.9199999999991,58225.299999999996,1
0,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,10.5,43361.3,3.0041152263374484,244.65,43361.3,1
0,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,10.399999999999977,58968.0,1.875,405.5999999999991,58968.0,1
2,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,10.299999999999955,44550.600000000006,3.0078125,253.3799999999989,44550.600000000006,1
0,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,10.299999999999955,63603.8,1.8141592920353982,455.259999999998,63603.8,1
0,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,10.399999999999977,50959.3,2.70096463022508,313.03999999999934,50959.3,1
1,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,10.399999999999977,64539.8,1.7479674796747966,501.27999999999895,64539.8,1
0,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,10.399999999999977,45849.0,3.358490566037736,265.1999999999994,45849.0,1
0,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,10.399999999999977,68537.7,1.845841784989858,502.31999999999886,68537.7,1
0,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,10.400000000000034,54112.5,2.7761194029850746,338.00000000000114,54112.5,1
1,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,10.300000000000011,54097.3,2.661064425770308,357.4100000000004,54097.3,1
1,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,10.399999999999977,70567.2,1.9758064516129032,505.4399999999989,70567.2,1
1,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,10.300000000000011,58022.700000000004,2.679045092838196,378.01000000000045,58022.700000000004,1
0,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,10.300000000000011,56408.8,2.587064676616915,403.7600000000005,56408.8,1
2,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,10.300000000000011,69915.3,2.0502901353965184,522.2100000000006,69915.3,1
0,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,10.300000000000011,70875.0,2.074766355140187,540.7500000000006,70875.0,1
0,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,10.300000000000011,61834.799999999996,2.435344827586207,467.6200000000005,61834.799999999996,1
0,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,10.300000000000011,69494.4,2.2200772200772203,523.2400000000006,69494.4,1
1,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,10.300000000000011,67168.8,2.3353293413173652,505.7300000000006,67168.8,1
2,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,10.399999999999977,66542.0,2.4242424242424243,504.3999999999989,66542.0,1
1,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,10.300000000000011,69920.0,2.577319587628866,489.25000000000057,69920.0,1
0,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,10.300000000000011,73109.90000000001,2.5548902195608783,505.7300000000006,73109.90000000001,1
1,298.7,309.0,1843,25.8,130,0,0,0,0,0,0,10.300000000000011,47549.4,4.850746268656716,265.7400000000003,47549.4,1
0,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,10.300000000000011,65653.4,2.8118393234672308,476.8900000000005,65653.4,1
2,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,10.399999999999977,76807.5,2.459016393442623,560.5599999999988,76807.5,1
1,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,10.300000000000011,62269.200000000004,3.104212860310421,454.23000000000053,62269.200000000004,1
0,298.9,309.1,2861,4.6,143,1,0,0,1,0,0,10.200000000000045,13160.599999999999,25.53571428571429,46.92000000000021,13160.599999999999,1
0,298.9,309.1,1383,54.9,145,0,0,0,0,0,0,10.200000000000045,75926.7,2.59391771019678,559.9800000000025,75926.7,1
2,298.8,309.0,1497,43.8,147,0,0,0,0,0,0,10.199999999999989,65568.59999999999,3.28125,446.7599999999995,65568.59999999999,1
0,298.7,309.0,1565,35.1,152,0,0,0,0,0,0,10.300000000000011,54931.5,4.2105263157894735,361.5300000000004,54931.5,2
0,298.7,309.0,1691,30.1,154,0,0,0,0,0,0,10.300000000000011,50899.100000000006,4.95176848874598,310.03000000000037,50899.100000000006,2
0,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,10.300000000000011,61538.4,3.741007194244604,419.2100000000005,61538.4,2
0,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,10.300000000000011,62624.799999999996,3.640552995391705,436.7200000000005,62624.799999999996,2
0,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,10.300000000000011,60973.899999999994,3.8740920096852305,415.09000000000043,60973.899999999994,2
1,298.8,309.0,1661,29.5,162,0,0,0,0,0,0,10.199999999999989,48999.5,5.311475409836065,300.89999999999964,48999.5,2
0,298.8,309.1,1378,54.4,165,0,0,0,0,0,0,10.300000000000011,74963.2,2.9783393501805056,560.3200000000006,74963.2,2
0,298.8,309.1,1393,52.6,167,0,0,0,0,0,0,10.300000000000011,73271.8,3.1156716417910446,541.7800000000007,73271.8,2
1,298.8,309.0,1592,38.2,169,0,0,0,0,0,0,10.199999999999989,60814.4,4.311224489795918,389.6399999999996,60814.4,2
0,298.8,309.0,1829,22.9,172,0,0,0,0,0,0,10.199999999999989,41884.1,7.1966527196652725,233.57999999999973,41884.1,2
1,298.9,309.0,1812,25.9,174,0,0,0,0,0,0,10.100000000000023,46930.799999999996,6.4684014869888475,261.5900000000006,46930.799999999996,2
0,299.0,309.1,1523,38.6,177,0,0,0,0,0,0,10.100000000000023,58787.8,4.46969696969697,389.86000000000087,58787.8,2
0,299.0,309.1,1394,45.1,179,0,0,0,0,0,0,10.100000000000023,62869.4,3.882863340563991,455.510000000001,62869.4,2
1,298.9,308.9,1679,28.7,181,0,0,0,0,0,0,10.0,48187.299999999996,6.094276094276094,287.0,48187.299999999996,2
2,298.8,308.9,1466,44.1,184,0,0,0,0,0,0,10.099999999999966,64650.6,4.0798226164079825,445.4099999999985,64650.6,2
0,298.8,308.9,1527,32.4,189,0,0,0,0,0,0,10.099999999999966,49474.799999999996,5.658682634730539,327.2399999999989,49474.799999999996,2
0,298.9,309.0,1410,65.7,191,1,0,0,1,1,0,10.100000000000023,92637.0,2.863568215892054,663.5700000000015,92637.0,2
1,298.9,309.0,1924,22.6,193,0,0,0,0,0,0,10.100000000000023,43482.4,8.177966101694915,228.26000000000053,43482.4,2
0,298.9,309.1,1452,45.5,196,0,0,0,0,0,0,10.200000000000045,66066.0,4.21505376344086,464.10000000000207,66066.0,2
0,298.9,309.1,1369,44.4,198,0,0,0,0,0,0,10.200000000000045,60783.6,4.361233480176211,452.880000000002,60783.6,2
0,299.0,309.1,1592,35.0,200,0,0,0,0,0,0,10.100000000000023,55720.0,5.555555555555555,353.5000000000008,55720.0,2
0,298.9,309.0,1601,32.3,202,0,0,0,0,0,0,10.100000000000023,51712.299999999996,6.066066066066067,326.2300000000007,51712.299999999996,2
0,298.8,308.9,1379,46.7,204,0,0,0,0,0,0,10.099999999999966,64399.3,4.276729559748428,471.6699999999984,64399.3,2
0,298.8,308.9,1461,47.9,206,0,0,0,0,0,0,10.099999999999966,69981.9,4.212678936605317,483.7899999999984,69981.9,2
0,298.8,308.9,1455,41.3,208,1,1,0,0,0,0,10.099999999999966,60091.49999999999,4.91725768321513,417.1299999999986,60091.49999999999,2
0,298.8,308.9,1398,51.5,0,0,0,0,0,0,0,10.099999999999966,71997.0,0.0,520.1499999999983,71997.0,-1
0,298.8,308.9,1402,37.9,2,0,0,0,0,0,0,10.099999999999966,53135.799999999996,0.05141388174807198,382.7899999999987,53135.799999999996,0
2,298.8,308.8,1445,49.9,4,0,0,0,0,0,0,10.0,72105.5,0.07858546168958742,499.0,72105.5,0
0,298.9,308.9,1450,47.5,9,0,0,0,0,0,0,10.0,68875.0,0.18556701030927836,475.0,68875.0,0
0,298.9,308.9,1453,40.8,11,0,0,0,0,0,0,10.0,59282.399999999994,0.26315789473684215,408.0,59282.399999999994,0
0,299.0,309.0,1469,40.1,13,0,0,0,0,0,0,10.0,58906.9,0.31630170316301703,401.0,58906.9,0
0,298.9,308.9,1422,47.6,15,0,0,0,0,0,0,10.0,67687.2,0.30864197530864196,476.0,67687.2,0
1,299.0,309.0,1804,26.8,17,0,0,0,0,0,0,10.0,48347.200000000004,0.6115107913669064,268.0,48347.200000000004,0
2,299.0,309.0,1436,43.9,20,0,0,0,0,0,0,10.0,63040.4,0.44543429844098,439.0,63040.4,0
0,299.0,309.0,1544,31.8,25,0,0,0,0,0,0,10.0,49099.200000000004,0.7621951219512195,318.0,49099.200000000004,0
1,299.0,309.0,1419,45.2,27,0,0,0,0,0,0,10.0,64138.8,0.5844155844155844,452.0,64138.8,0
1,298.9,308.9,1487,39.5,30,0,0,0,0,0,0,10.0,58736.5,0.7407407407407407,395.0,58736.5,0
0,298.9,308.9,1753,25.8,33,0,0,0,0,0,0,10.0,45227.4,1.2313432835820894,258.0,45227.4,0
0,298.9,308.9,1830,24.9,35,0,0,0,0,0,0,10.0,45567.0,1.3513513513513513,249.0,45567.0,0
1,298.9,308.9,1727,27.1,37,0,0,0,0,0,0,10.0,46801.700000000004,1.3167259786476868,271.0,46801.700000000004,0
0,299.1,309.0,1450,43.0,40,0,0,0,0,0,0,9.899999999999977,62350.0,0.9090909090909091,425.699999999999,62350.0,0
0,299.0,308.9,1622,31.9,42,0,0,0,0,0,0,9.899999999999977,51741.799999999996,1.2765957446808511,315.80999999999926,51741.799999999996,0
1,299.0,309.0,1351,52.2,44,0,0,0,0,0,0,10.0,70522.2,0.8270676691729323,522.0,70522.2,0
1,299.0,309.0,1575,35.3,47,0,0,0,0,0,0,10.0,55597.49999999999,1.2947658402203859,353.0,55597.49999999999,0
1,298.9,308.9,1750,29.9,50,0,0,0,0,0,0,10.0,52325.0,1.6181229773462784,299.0,52325.0,0
0,298.9,308.8,1529,32.7,53,0,0,0,0,0,0,9.900000000000034,49998.3,1.572700296735905,323.73000000000116,49998.3,1
0,298.8,308.8,1523,44.4,55,0,0,0,0,0,0,10.0,67621.2,1.2114537444933922,444.0,67621.2,1
0,298.8,308.9,1852,25.0,57,0,0,0,0,0,0,10.099999999999966,46300.0,2.1923076923076925,252.49999999999915,46300.0,1
0,298.8,308.8,1991,20.7,59,0,0,0,0,0,0,10.0,41213.7,2.71889400921659,207.0,41213.7,1
0,298.8,308.8,1555,40.6,61,0,0,0,0,0,0,10.0,63133.0,1.4663461538461537,406.0,63133.0,1
1,298.8,308.8,1441,40.5,63,0,0,0,0,0,0,10.0,58360.5,1.5180722891566265,405.0,58360.5,1
0,298.8,308.7,1450,43.4,66,0,0,0,0,0,0,9.899999999999977,62930.0,1.4864864864864866,429.659999999999,62930.0,1
0,298.8,308.7,1591,31.1,68,0,0,0,0,0,0,9.899999999999977,49480.100000000006,2.1183800623052957,307.8899999999993,49480.100000000006,1
0,298.8,308.7,1445,48.5,70,0,0,0,0,0,0,9.899999999999977,70082.5,1.4141414141414141,480.1499999999989,70082.5,1
1,298.8,308.8,1497,46.8,72,0,0,0,0,0,0,10.0,70059.59999999999,1.5062761506276152,468.0,70059.59999999999,1
2,298.9,308.8,1621,32.7,75,0,0,0,0,0,0,9.900000000000034,53006.700000000004,2.2255192878338277,323.73000000000116,53006.700000000004,1
0,298.9,308.7,1572,34.1,80,0,0,0,0,0,0,9.800000000000011,53605.200000000004,2.2792022792022792,334.1800000000004,53605.200000000004,1
0,298.8,308.6,1872,22.5,82,0,0,0,0,0,0,9.800000000000011,42120.0,3.4893617021276597,220.50000000000026,42120.0,1
2,298.7,308.6,1499,43.5,84,0,0,0,0,0,0,9.900000000000034,65206.5,1.8876404494382022,430.65000000000146,65206.5,1
1,298.8,308.7,1498,39.5,89,0,0,0,0,0,0,9.899999999999977,59171.0,2.197530864197531,391.0499999999991,59171.0,1
1,298.8,308.6,1486,41.9,92,0,0,0,0,0,0,9.800000000000011,62263.4,2.1445221445221447,410.62000000000046,62263.4,1
0,298.8,308.6,1680,29.4,95,0,0,0,0,0,0,9.800000000000011,49392.0,3.125,288.12000000000035,49392.0,1
0,298.8,308.6,1431,45.7,97,0,0,0,0,0,0,9.800000000000011,65396.700000000004,2.077087794432548,447.8600000000005,65396.700000000004,1
0,298.9,308.7,1564,34.1,99,0,0,0,0,0,0,9.800000000000011,53332.4,2.8205128205128203,334.1800000000004,53332.4,1
0,298.8,308.6,1599,33.0,101,0,0,0,0,0,0,9.800000000000011,52767.0,2.9705882352941178,323.4000000000004,52767.0,1
1,298.8,308.6,1707,28.1,103,0,0,0,0,0,0,9.800000000000011,47966.700000000004,3.5395189003436425,275.38000000000034,47966.700000000004,1
0,298.7,308.5,1467,40.7,106,0,0,0,0,0,0,9.800000000000011,59706.9,2.541966426858513,398.86000000000047,59706.9,1
0,298.9,308.7,1433,44.7,108,0,0,0,0,0,0,9.800000000000011,64055.100000000006,2.363238512035011,438.0600000000005,64055.100000000006,1
0,298.9,308.7,1558,41.2,110,0,0,0,0,0,0,9.800000000000011,64189.600000000006,2.6066350710900474,403.7600000000005,64189.600000000006,1
0,299.0,308.8,1310,50.7,112,0,0,0,0,0,0,9.800000000000011,66417.0,2.1663442940038684,496.8600000000006,66417.0,1
0,298.9,308.7,1546,43.4,114,0,0,0,0,0,0,9.800000000000011,67096.4,2.5675675675675675,425.3200000000005,67096.4,1
0,298.9,308.7,1727,29.4,116,0,0,0,0,0,0,9.800000000000011,50773.799999999996,3.8157894736842106,288.12000000000035,50773.799999999996,1
0,298.9,308.6,1560,32.2,118,0,0,0,0,0,0,9.700000000000045,50232.00000000001,3.5542168674698793,312.3400000000015,50232.00000000001,1
0,299.0,308.6,1329,60.5,120,0,0,0,0,0,0,9.600000000000023,80404.5,1.951219512195122,580.8000000000013,80404.5,1
0,298.9,308.6,1413,46.5,122,0,0,0,0,0,0,9.700000000000045,65704.5,2.568421052631579,451.0500000000021,65704.5,1
0,299.0,308.6,1587,38.6,124,0,0,0,0,0,0,9.600000000000023,61258.200000000004,3.131313131313131,370.5600000000009,61258.200000000004,1
0,298.9,308.5,1559,34.3,126,0,0,0,0,0,0,9.600000000000023,53473.7,3.569405099150142,329.28000000000077,53473.7,1
0,298.8,308.4,1473,41.1,128,0,0,0,0,0,0,9.599999999999966,60540.3,3.040380047505938,394.55999999999864,60540.3,1
0,298.8,308.4,1737,27.7,130,0,0,0,0,0,0,9.599999999999966,48114.9,4.529616724738676,265.91999999999905,48114.9,1
1,298.7,308.4,1441,43.2,132,0,0,0,0,0,0,9.699999999999989,62251.200000000004,2.9864253393665154,419.0399999999995,62251.200000000004,1
1,298.7,308.4,1430,49.6,135,0,0,0,0,0,0,9.699999999999989,70928.0,2.6679841897233203,481.11999999999944,70928.0,1
0,298.8,308.4,1369,53.0,138,0,0,0,0,0,0,9.599999999999966,72557.0,2.5555555555555554,508.7999999999982,72557.0,1
1,298.8,308.5,1711,28.5,140,0,0,0,0,0,0,9.699999999999989,48763.5,4.745762711864407,276.4499999999997,48763.5,1
2,298.7,308.5,1420,45.7,143,0,0,0,0,0,0,9.800000000000011,64894.00000000001,3.062098501070664,447.8600000000005,64894.00000000001,1
0,298.7,308.6,1297,55.3,148,0,0,0,0,0,0,9.900000000000034,71724.09999999999,2.6287744227353467,547.4700000000018,71724.09999999999,1
2,298.8,308.6,1449,49.4,150,0,0,0,0,0,0,9.800000000000011,71580.59999999999,2.9761904761904763,484.1200000000006,71580.59999999999,1
0,298.8,308.6,1268,55.8,155,0,0,0,0,0,0,9.800000000000011,70754.4,2.72887323943662,546.8400000000006,70754.4,2
0,298.8,308.6,1511,36.1,157,0,0,0,0,0,0,9.800000000000011,54547.1,4.231805929919138,353.7800000000004,54547.1,2
0,298.7,308.5,1544,35.2,159,0,0,0,0,0,0,9.800000000000011,54348.8,4.392265193370165,344.96000000000043,54348.8,2
1,298.6,308.4,1778,28.2,161,0,0,0,0,0,0,9.799999999999955,50139.6,5.513698630136987,276.3599999999987,50139.6,2
2,298.6,308.4,1407,50.5,164,0,0,0,0,0,0,9.799999999999955,71053.5,3.1844660194174756,494.8999999999977,71053.5,2
1,298.6,308.4,1391,42.4,169,0,0,0,0,0,0,9.799999999999955,58978.4,3.894009216589862,415.51999999999805,58978.4,2
0,298.5,308.4,1513,33.6,172,0,0,0,0,0,0,9.899999999999977,50836.8,4.971098265895954,332.63999999999925,50836.8,2
2,298.5,308.4,1612,36.1,174,0,0,0,0,0,0,9.899999999999977,58193.200000000004,4.690026954177897,357.3899999999992,58193.200000000004,2
0,298.4,308.4,1515,40.1,179,0,0,0,0,0,0,10.0,60751.5,4.355231143552311,401.0,60751.5,2
1,298.3,308.3,1379,48.0,181,0,0,0,0,0,0,10.0,66192.0,3.693877551020408,480.0,66192.0,2
0,298.4,308.3,1473,39.9,184,0,0,0,0,0,0,9.900000000000034,58772.7,4.49877750611247,395.01000000000136,58772.7,2
0,298.4,308.3,1422,42.7,186,0,0,0,0,0,0,9.900000000000034,60719.4,4.25629290617849,422.7300000000015,60719.4,2
1,298.4,308.2,1463,37.6,188,0,0,0,0,0,0,9.800000000000011,55008.8,4.870466321243523,368.4800000000004,55008.8,2
1,298.4,308.2,1584,41.0,191,0,0,0,0,0,0,9.800000000000011,64944.0,4.5476190476190474,401.80000000000047,64944.0,2
0,298.4,308.2,1850,27.0,194,0,0,0,0,0,0,9.800000000000011,49950.0,6.928571428571429,264.6000000000003,49950.0,2
0,298.4,308.2,1528,36.2,196,0,0,0,0,0,0,9.800000000000011,55313.600000000006,5.268817204301075,354.76000000000045,55313.600000000006,2
2,298.4,308.2,1987,19.8,198,0,0,0,0,0,0,9.800000000000011,39342.6,9.519230769230768,194.04000000000022,39342.6,2
1,298.4,308.1,1495,46.0,203,0,0,0,0,0,0,9.700000000000045,68770.0,4.319148936170213,446.2000000000021,68770.0,2
2,298.4,308.2,1478,43.5,206,0,0,0,0,0,0,9.800000000000011,64293.0,4.629213483146067,426.3000000000005,64293.0,2
1,298.4,308.2,1499,40.0,211,0,0,0,0,0,0,9.800000000000011,59960.0,5.146341463414634,392.00000000000045,59960.0,2
0,298.4,308.2,1471,47.0,214,0,0,0,0,0,0,9.800000000000011,69137.0,4.458333333333333,460.60000000000053,69137.0,2
0,298.4,308.2,1282,60.7,216,1,0,0,0,1,0,9.800000000000011,77817.40000000001,3.5008103727714746,594.8600000000007,77817.40000000001,2
0,298.3,308.1,1412,52.3,218,1,0,0,0,1,0,9.800000000000011,73847.59999999999,4.090056285178236,512.5400000000005,73847.59999999999,2
0,298.3,308.1,1586,35.5,0,0,0,0,0,0,0,9.800000000000011,56303.0,0.0,347.90000000000043,56303.0,-1
1,298.4,308.2,1468,43.8,2,0,0,0,0,0,0,9.800000000000011,64298.399999999994,0.044642857142857144,429.24000000000046,64298.399999999994,0
1,298.5,308.3,1440,43.6,5,0,0,0,0,0,0,9.800000000000011,62784.0,0.11210762331838564,427.2800000000005,62784.0,0
0,298.5,308.4,1733,26.0,8,0,0,0,0,0,0,9.899999999999977,45058.0,0.2962962962962963,257.3999999999994,45058.0,0
2,298.4,308.2,1612,32.6,10,0,0,0,0,0,0,9.800000000000011,52551.200000000004,0.2976190476190476,319.48000000000036,52551.200000000004,0
2,298.4,308.3,1458,42.9,15,0,0,0,0,0,0,9.900000000000034,62548.2,0.3416856492027335,424.71000000000146,62548.2,0
0,298.4,308.3,1433,62.3,20,1,0,0,1,0,0,9.900000000000034,89275.9,0.315955766192733,616.7700000000021,89275.9,0
0,298.4,308.3,1318,59.1,22,0,0,0,0,0,0,9.900000000000034,77893.8,0.36605657237936773,585.0900000000021,77893.8,0
1,298.4,308.2,1610,35.0,24,0,0,0,0,0,0,9.800000000000011,56350.0,0.6666666666666666,343.0000000000004,56350.0,0
0,298.2,308.1,1462,50.8,27,0,0,0,0,0,0,9.900000000000034,74269.59999999999,0.5212355212355213,502.9200000000017,74269.59999999999,0
1,298.1,308.0,1924,20.8,29,0,0,0,0,0,0,9.899999999999977,40019.200000000004,1.3302752293577982,205.91999999999953,40019.200000000004,0
1,298.2,308.0,1591,33.7,32,0,0,0,0,0,0,9.800000000000011,53616.700000000004,0.9221902017291066,330.2600000000004,53616.700000000004,0
0,298.2,308.1,1306,58.3,35,0,0,0,0,0,0,9.900000000000034,76139.8,0.5902192242833053,577.170000000002,76139.8,0
0,298.2,308.1,1382,43.5,37,0,0,0,0,0,0,9.900000000000034,60117.0,0.8314606741573034,430.65000000000146,60117.0,0
0,298.2,308.1,1618,34.7,39,0,0,0,0,0,0,9.900000000000034,56144.600000000006,1.0924369747899159,343.5300000000012,56144.600000000006,0
0,298.2,308.2,1988,21.4,41,0,0,0,0,0,0,10.0,42543.2,1.830357142857143,214.0,42543.2,0
0,298.2,308.2,1436,50.2,43,0,0,0,0,0,0,10.0,72087.2,0.83984375,502.0,72087.2,0
0,298.2,308.3,1304,49.8,45,0,0,0,0,0,0,10.100000000000023,64939.2,0.8858267716535434,502.9800000000011,64939.2,0
0,298.2,308.3,1475,49.9,47,0,0,0,0,0,0,10.100000000000023,73602.5,0.9233791748526523,503.99000000000115,73602.5,0
2,298.2,308.3,1824,24.2,49,0,0,0,0,0,0,10.100000000000023,44140.799999999996,1.9444444444444444,244.42000000000056,44140.799999999996,0
1,298.1,308.2,1342,48.1,54,0,0,0,0,0,0,10.099999999999966,64550.200000000004,1.0997963340122199,485.80999999999835,64550.200000000004,1
0,298.1,308.2,1485,40.7,57,0,0,0,0,0,0,10.099999999999966,60439.50000000001,1.3669064748201438,411.06999999999863,60439.50000000001,1
0,298.2,308.2,1667,30.6,59,0,0,0,0,0,0,10.0,51010.200000000004,1.8670886075949367,306.0,51010.200000000004,1
0,298.2,308.2,1446,38.2,61,0,0,0,0,0,0,10.0,55237.200000000004,1.5561224489795917,382.0,55237.200000000004,1
0,298.1,308.3,1301,56.0,63,0,0,0,0,0,0,10.199999999999989,72856.0,1.105263157894737,571.1999999999994,72856.0,1
0,298.2,308.4,1379,43.1,65,0,0,0,0,0,0,10.199999999999989,59434.9,1.473922902494331,439.61999999999955,59434.9,1
0,298.3,308.5,1606,33.6,67,0,0,0,0,0,0,10.199999999999989,53961.600000000006,1.9364161849710981,342.71999999999963,53961.600000000006,1
1,298.3,308.4,1539,43.4,69,0,0,0,0,0,0,10.099999999999966,66792.59999999999,1.5540540540540542,438.3399999999985,66792.59999999999,1
0,298.2,308.4,1477,49.9,72,0,0,0,0,0,0,10.199999999999989,73702.3,1.4145383104125737,508.9799999999994,73702.3,1
0,298.2,308.4,1666,34.6,74,0,0,0,0,0,0,10.199999999999989,57643.600000000006,2.0786516853932584,352.9199999999996,57643.600000000006,1
2,298.2,308.4,1398,51.8,76,0,0,0,0,0,0,10.199999999999989,72416.4,1.4393939393939394,528.3599999999993,72416.4,1
2,298.2,308.4,1678,34.6,81,0,0,0,0,0,0,10.199999999999989,58058.8,2.2752808988764044,352.9199999999996,58058.8,1
1,298.2,308.5,2678,10.7,86,1,0,0,1,0,0,10.300000000000011,28654.6,7.350427350427351,110.21000000000011,28654.6,1
0,298.3,308.5,1453,42.9,89,0,0,0,0,0,0,10.199999999999989,62333.7,2.0273348519362187,437.5799999999995,62333.7,1
2,298.3,308.6,1432,49.5,91,0,0,0,0,0,0,10.300000000000011,70884.0,1.801980198019802,509.8500000000006,70884.0,1
1,298.4,308.6,1527,40.9,96,0,0,0,0,0,0,10.200000000000045,62454.299999999996,2.2911694510739857,417.1800000000018,62454.299999999996,1
0,298.4,308.7,1588,35.0,99,0,0,0,0,0,0,10.300000000000011,55580.0,2.75,360.5000000000004,55580.0,1
0,298.4,308.6,1433,47.1,101,0,0,0,0,0,0,10.200000000000045,67494.3,2.0997920997921,480.4200000000022,67494.3,1
0,298.4,308.6,1609,35.0,103,0,0,0,0,0,0,10.200000000000045,56315.0,2.861111111111111,357.0000000000016,56315.0,1
0,298.3,308.5,1575,41.2,105,0,0,0,0,0,0,10.199999999999989,64890.00000000001,2.4881516587677726,420.23999999999955,64890.00000000001,1
1,298.4,308.5,1636,35.7,107,0,0,0,0,0,0,10.100000000000023,58405.200000000004,2.9155313351498635,360.57000000000085,58405.200000000004,1
